miRNA	Sex	Disease_Condition	Age	Residual
hsa-miR-3916	0.00014150593814225135	0.2624722805161304	0.0002841503054144429	0.7371020632403129
hsa-miR-3917	0.00012445087852748778	0.015043950161811918	4.007520076006395e-05	0.9847915237589004
hsa-miR-3918	4.812585292129781e-05	0.43906629585539164	0.00032259152541244576	0.5605629867662747
hsa-miR-3919	0.0003005641076036524	0.012083287993577852	0.0003192605170918833	0.9872968873817266
hsa-miR-3920	0.0001473877142099426	0.49283443071585387	9.084570600608938e-08	0.5070180907242303
hsa-miR-3921	0.0002557152011103219	0.0009668892562692509	4.143189053951623e-05	0.9987359636520808
hsa-miR-3922-3p	5.4522854316625725e-06	0.015603384460967769	0.0009185470877552699	0.9834726161658454
hsa-miR-3922-5p	4.5595229883968327e-07	0.010304128809965868	0.0002643016803581196	0.9894311135573771
hsa-miR-3923	0.0005020538443293884	0.11355479835286648	3.650967699782014e-05	0.8859066381258063
hsa-miR-3924	0.00015606378555792222	0.0011415794428492998	0.00047562483610045635	0.9982267319354923
hsa-miR-3925-3p	6.241754068702467e-06	0.013097224013476964	0.00016458116880882747	0.9867319530636455
hsa-miR-3925-5p	0.0001207301745475736	0.0033310651644474247	2.1567018567290553e-05	0.9965266376424378
hsa-miR-3926	3.496203210640671e-05	0.002949874189788733	0.0007577014394740595	0.9962574623386308
hsa-miR-3927-5p	3.7704677220530376e-05	0.0006268574029595021	0.00014417985042346687	0.9991912580693966
hsa-miR-3928-3p	0.002226904132967216	0.437734003106334	0.00015734590826346743	0.5598817468524353
hsa-miR-3928-5p	2.2355348722930692e-07	0.006081558764672482	0.0002804415653092148	0.993637776116531
hsa-miR-3929	3.706614075171536e-05	0.0003289750173472884	5.623594041917036e-07	0.9996333964824967
hsa-miR-3934-3p	7.609952478200122e-05	0.3526933670061482	0.0005882236091888564	0.6466423098598809
hsa-miR-3934-5p	0.00012989076237062712	0.2556663702033416	0.0004095505215933917	0.7437941885126943
hsa-miR-3935	0.0001407096156938828	0.0018025835201439307	0.00028274347290951153	0.9977739633912527
hsa-miR-3936	0.0015387026395058381	0.15446763338061206	4.318238708962825e-05	0.8439504815927924
